0.3425,143.3750,0.2028
0.0159,0.5629,0.0055
0.0159,0.5672,0.0055
0.0159,0.5672,0.0055
0.0140,0.6498,0.0052
0.0134,0.5094,0.0050
0.0122,0.6119,0.0048
0.0108,0.6453,0.0044
0.0085,0.5889,0.0039
0.0076,0.5092,0.0038
0.0074,0.3317,0.0038
0.0073,0.4019,0.0037
0.0073,0.4018,0.0037
0.0073,0.4018,0.0037
0.0069,0.4572,0.0037
0.0067,0.3368,0.0036
0.0061,0.3966,0.0035
0.0056,0.4920,0.0032
0.0053,0.3212,0.0030
0.0046,0.3308,0.0026
0.0041,0.3003,0.0026
0.0047,0.3585,0.0027
0.0047,0.3593,0.0027
0.0047,0.3593,0.0027
0.0037,0.3273,0.0025
0.0079,0.5003,0.0029
0.0038,0.4480,0.0025
0.0038,0.3071,0.0025
0.0048,0.3308,0.0027
0.0046,0.3695,0.0026
0.0040,0.3381,0.0026
0.0039,0.3657,0.0025
0.0039,0.3667,0.0025
0.0039,0.3667,0.0025
0.0034,0.5379,0.0025
0.0032,0.3402,0.0024
0.0033,0.5540,0.0025
0.0032,0.3341,0.0024
0.0037,0.3883,0.0025
0.0036,0.3353,0.0025
0.0052,0.3822,0.0029
0.0047,0.3171,0.0026
0.0047,0.3181,0.0026
0.0047,0.3181,0.0026
0.0030,0.3269,0.0024
0.0041,0.3805,0.0026
0.0031,0.4899,0.0024
0.0030,0.4096,0.0024
0.0030,0.3483,0.0024
0.0029,0.5032,0.0024
0.0037,0.3161,0.0025
0.0028,0.3563,0.0024
0.0028,0.3564,0.0024
0.0028,0.3564,0.0024
0.0027,0.4091,0.0024
0.0028,0.4204,0.0024
0.0028,0.3389,0.0024
0.0035,0.3248,0.0025
0.0080,0.5124,0.0031
0.0032,0.3232,0.0025
0.0033,0.4030,0.0024
0.0043,0.3329,0.0027
0.0043,0.3331,0.0027
0.0043,0.3331,0.0027
0.0028,0.3405,0.0024
0.0032,0.4003,0.0025
0.0028,0.3620,0.0024
0.0031,0.5292,0.0024
0.0031,0.3952,0.0025
0.0033,0.3273,0.0025
0.0025,0.3478,0.0024
0.0030,0.3271,0.0024
0.0030,0.3269,0.0024
0.0030,0.3269,0.0024
0.0030,0.3415,0.0024
0.0025,0.3498,0.0023
0.0034,0.3431,0.0024
0.0026,0.5147,0.0022
0.0034,0.6126,0.0020
0.0049,0.8000,0.0026
0.0035,0.5072,0.0016
0.0025,0.3499,0.0017
0.0025,0.3482,0.0017
0.0025,0.3482,0.0017
0.0050,0.5982,0.0025
0.0022,0.3436,0.0013
0.0022,0.3124,0.0009
0.0018,0.2760,0.0007
0.0019,0.2657,0.0008
0.0017,0.2694,0.0008
0.0016,0.2665,0.0007
0.0016,0.2578,0.0006
0.0016,0.2581,0.0006
0.0016,0.2581,0.0006
0.0044,0.2789,0.0029
0.0026,0.2455,0.0010
0.0027,0.2871,0.0016
0.0029,0.2165,0.0011
0.0024,0.2209,0.0009
0.0022,0.2803,0.0014
0.0027,0.2197,0.0012
0.0023,0.2226,0.0010
0.0023,0.2227,0.0010
0.0023,0.2227,0.0010
